epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.291,0.81578,2.06834,1.18905,0.41782,0.53996,0.41979,0.34466,0.52457,2.83599,0.86521,0.000467673,0.000467673,0.000467673
2,358.997,0.67352,1.2095,1.0978,0.77844,0.88775,0.88959,0.76957,0.57238,1.19699,0.88588,0.000757093,0.000757093,0.000757093
3,510.285,0.62664,1.02831,1.06892,0.86564,0.84124,0.93279,0.79118,0.57173,1.20802,0.91576,0.000857885,0.000857885,0.000857885
